region;tik;tikId;uik;address;center;city;lat;lon;distance;voters;totalVotes;Poroshenko;Zelenskiy;Tymoshenko
м.Київ;ТВО №217;217;ВД № 800508;просп.Героїв Сталінграда, 39Г, м.Київ, 04210;;;50.51709302;30.5043914;693.9224525144418;2255;1615;444;365;212
м.Київ;ТВО №212;212;ВД № 800101;вул.Княжий Затон, 17В, м.Київ, 02095;;;50.40056511;30.62193325;702.7106193123687;1945;1411;356;369;160
м.Київ;ТВО №211;211;ВД № 800076;вул.Жилянська, 46, м.Київ, 01033;;;50.43465312;30.50745733;703.4981225822155;1951;1301;400;261;182
м.Київ;ТВО №217;217;ВД № 800524;вул.Північна, 22, м.Київ, 04213;;;50.52510397;30.50770496;705.7861361917181;2008;1379;357;307;196
м.Київ;ТВО №217;217;ВД № 800507;просп.Героїв Сталінграда, 39Г, м.Київ, 04210;;;50.51738347;30.5045102;705.8887073954253;2202;1574;412;402;227
м.Київ;ТВО №221;221;ВД № 800602;вул.Тимірязівська, 36, м.Київ, 01014;;;50.40830556;30.55793524;708.6158396289981;2350;1422;374;385;200
м.Київ;ТВО №218;218;ВД № 800816;вул.Огарьова, 2, м.Київ, 03115;;;50.46193596;30.38093502;711.2777239482206;2305;1575;404;402;200
м.Київ;ТВО №223;223;ВД № 800992;пров.Татарський, 1, м.Київ, 04107;;;50.4681516;30.48551559;714.7744413179561;2319;1682;496;355;197
м.Київ;ТВО №218;218;ВД № 800549;вул.Озерна, 2А, м.Київ, 04209;;;50.52353773;30.48854628;720.0466564354955;2209;1561;363;432;235
м.Київ;ТВО №221;221;ВД № 801105;вул.Іоанна Павла II, 14/21, м.Київ, 01042;;;50.419263;30.534994;720.6282897850344;2166;1253;302;595;78
м.Київ;ТВО №211;211;ВД № 800064;вул.Костанайська, 9, м.Київ, 03118;;;50.40621321;30.50682306;724.3190343192565;2281;1351;380;426;174
м.Київ;ТВО №212;212;ВД № 800100;вул.Княжий Затон, 17В, м.Київ, 02095;;;50.40080625;30.62199504;726.6049544334741;1479;1089;322;208;118
м.Київ;ТВО №218;218;ВД № 800548;вул.Озерна, 2, м.Київ, 04209;;;50.52423824;30.48867156;728.0058325675766;1916;1394;336;318;188
м.Київ;ТВО №211;211;ВД № 800054;вул.Маричанська, 4, м.Київ, 03040;;;50.39240543;30.50179392;730.4848705476949;2231;1585;431;352;216
м.Київ;ТВО №217;217;ВД № 800525;вул.Північна, 8, м.Київ, 04214;;;50.52720532;30.50584855;732.3334643776686;2223;1415;375;450;160
м.Київ;ТВО №222;222;ВД № 800896;вул.Борщагівська, 124, м.Київ, 03056;;;50.44689162;30.45776546;732.887534881252;1693;1154;195;571;37
м.Київ;ТВО №217;217;ВД № 800534;вул.Богатирська, 2Б, м.Київ, 04212;;;50.51174055;30.4879469;733.8568793962054;2111;1489;373;386;189
м.Київ;ТВО №219;219;ВД № 800779;вул.Чистяківська, 18, м.Київ, 03062;;;50.45324354;30.39619773;738.9312669074435;2110;1398;309;365;215
м.Київ;ТВО №223;223;ВД № 801038;вул.Естонська, 8А, м.Київ, 03190;;;50.4644628;30.40962049;739.1264556496868;1703;1115;244;327;149
м.Київ;ТВО №211;211;ВД № 800017;вул.Героїв Оборони, 6, м.Київ, 03127;;;50.38297509;30.48790637;739.744281044351;2122;1515;417;289;171
м.Київ;ТВО №217;217;ВД № 800545;вул.Озерна, 2А, м.Київ, 04209;;;50.52312915;30.48814457;742.4457528148214;2032;1404;378;344;190
м.Київ;ТВО №217;217;ВД № 800490;просп.Героїв Сталінграда, 12, м.Київ, 04210;;;50.50945363;30.50791246;745.1712063043744;1908;1395;382;350;183
м.Київ;ТВО №223;223;ВД № 801024;вул.Олени Теліги, 5, м.Київ, 04112;;;50.46731116;30.44569128;746.9257720195167;2388;1481;379;438;179
м.Київ;ТВО №217;217;ВД № 800536;вул.Богатирська, 2В, м.Київ, 04212;;;50.51275662;30.48776755;747.3178281358519;2233;1495;369;379;198
м.Київ;ТВО №217;217;ВД № 800546;вул.Озерна, 2А, м.Київ, 04209;;;50.52354916;30.48813905;748.6745432766654;2150;1419;360;369;186
м.Київ;ТВО №219;219;ВД № 800769;вул.Львівська, 8/6, м.Київ, 03115;;;50.45537285;30.37865639;753.9087471562757;2331;1667;448;400;220
м.Київ;ТВО №217;217;ВД № 800492;просп.Героїв Сталінграда, 18, м.Київ, 04210;;;50.50922273;30.50788719;754.4514211788947;2129;1633;412;350;223
м.Київ;ТВО №218;218;ВД № 800815;вул.Огарьова, 2, м.Київ, 03115;;;50.4621555;30.38041475;755.1737904139777;1204;763;186;258;74
м.Київ;ТВО №222;222;ВД № 800897;вул.Борщагівська, 124, м.Київ, 03056;;;50.44660809;30.45770645;755.2959613859834;1745;1237;236;592;34
м.Київ;ТВО №217;217;ВД № 800491;просп.Героїв Сталінграда, 18, м.Київ, 04210;;;50.50944386;30.50808016;756.4433235628958;2201;1622;474;313;246
м.Київ;ТВО №223;223;ВД № 801026;вул.Новоукраїнська, 24А, м.Київ, 04112;;;50.46968743;30.4341751;756.6027595155485;2394;1485;395;433;175
м.Київ;ТВО №217;217;ВД № 800533;вул.Богатирська, 2Б, м.Київ, 04212;;;50.51171495;30.48761706;757.3229076521033;2215;1562;364;375;233
м.Київ;ТВО №211;211;ВД № 800053;вул.Маричанська, 9, м.Київ, 03040;;;50.39244989;30.50105631;760.9157192243031;2103;1455;409;344;171
м.Київ;ТВО №223;223;ВД № 800999;вул.Гаврилишина Богдана, 24, м.Київ, 04116;;;50.45557998;30.47384554;763.6874997191358;2240;1575;474;344;177
м.Київ;ТВО №215;215;ВД № 800312;вул.Матеюка Миколи, 2, м.Київ, 02156;;;50.46748986;30.63580293;764.2690690728435;2214;1352;223;741;70
м.Київ;ТВО №221;221;ВД № 800623;вул.Іоанна Павла II, 17, м.Київ, 01042;;;50.42069371;30.53498626;765.848015027426;2537;1681;471;411;215
м.Київ;ТВО №217;217;ВД № 800547;вул.Озерна, 2, м.Київ, 04209;;;50.52431064;30.48813299;766.8534116738878;2016;1443;374;330;192
м.Київ;ТВО №223;223;ВД № 801023;вул.Олени Теліги, 5, м.Київ, 04112;;;50.46704053;30.44597651;768.5710401947058;2058;1343;378;353;163
м.Київ;ТВО №223;223;ВД № 801029;вул.Шпака, 4, м.Київ, 03113;;;50.45938238;30.43152809;768.923322344806;2390;1499;425;343;214
м.Київ;ТВО №217;217;ВД № 800537;вул.Богатирська, 2В, м.Київ, 04212;;;50.51318278;30.48753301;769.1342702931153;2118;1506;368;381;215
м.Київ;ТВО №218;218;ВД № 800813;бульв.Вернадського Академіка, 16В, м.Київ, 03115;;;50.46124264;30.37916272;769.9625521123244;2198;1556;459;363;194
м.Київ;ТВО №223;223;ВД № 801053;вул.Рейтерська, 22, м.Київ, 01034;;;50.45233304;30.51075518;770.214903327957;65;65;14;14;8
м.Київ;ТВО №218;218;ВД № 800821;вул.Крамського Івана, 16, м.Київ, 03115;;;50.44995217;30.37182304;773.8711548826652;51;44;7;4;4
м.Київ;ТВО №222;222;ВД № 800893;вул.Борщагівська, 126, м.Київ, 03056;;;50.44689162;30.45704663;774.4587408419891;1593;1116;224;537;26
м.Київ;ТВО №217;217;ВД № 800535;вул.Богатирська, 2В, м.Київ, 04212;;;50.51274215;30.48734657;776.860606218564;2161;1573;457;390;182
м.Київ;ТВО №214;214;ВД № 800388;вул.Миропільська, 13А, м.Київ, 02192;;;50.46586897;30.6255433;780.3800081472447;2153;1369;340;440;165
м.Київ;ТВО №217;217;ВД № 800484;вул.Йорданська, 24А, м.Київ, 04210;;;50.50022158;30.5090885;783.3060167701362;2223;1584;420;406;183
м.Київ;ТВО №211;211;ВД № 800056;вул.Бурмистенка, 4, м.Київ, 03040;;;50.39083565;30.4984653;784.2310972665487;1821;1262;294;400;154
м.Київ;ТВО №215;215;ВД № 800306;вул.Мілютенка, 5, м.Київ, 02156;;;50.46643622;30.63410094;784.6316831964509;2119;1354;313;350;184
м.Київ;ТВО №215;215;ВД № 800305;вул.Мілютенка, 5, м.Київ, 02156;;;50.46655887;30.63354518;787.037299204024;2176;1436;343;417;186
м.Київ;ТВО №217;217;ВД № 800481;вул.Йорданська, 24А, м.Київ, 04210;;;50.4999567;30.50909764;788.1612982891273;2018;1381;324;353;167
м.Київ;ТВО №222;222;ВД № 800907;вул.Шутова Полковника, 14В, м.Київ, 03067;;;50.45280439;30.42788029;790.3654257473013;2016;1190;234;536;65
м.Київ;ТВО №222;222;ВД № 800892;вул.Борщагівська, 126, м.Київ, 03056;;;50.44692237;30.45670867;792.5131850452688;1797;1177;190;660;30
м.Київ;ТВО №212;212;ВД № 800095;вул.Княжий Затон, 12А, м.Київ, 02095;;;50.40244043;30.61909905;795.7546542134316;2424;1703;496;467;198
м.Київ;ТВО №214;214;ВД № 800402;бульв.Верховної Ради, 15, м.Київ, 02100;;;50.44896015;30.61729389;795.789440120891;2308;1625;417;425;187
м.Київ;ТВО №223;223;ВД № 801039;вул.Януша Корчака, 8, м.Київ, 03190;;;50.46367283;30.41332992;797.8344430360091;1276;790;200;197;109
м.Київ;ТВО №221;221;ВД № 800610;бульв.Дружби Народів, 12Б, м.Київ, 01103;;;50.4127785;30.53566573;799.0791262432965;2260;1541;461;386;184
м.Київ;ТВО №211;211;ВД № 800073;вул.Жилянська, 75, м.Київ, 01032;;;50.43860362;30.49829364;799.7993548305786;2309;1438;453;362;172
м.Київ;ТВО №221;221;ВД № 800631;пров.Лабораторний, 18, м.Київ, 01133;;;50.42759398;30.52756727;802.8470010479552;49;47;10;15;7
м.Київ;ТВО №214;214;ВД № 800377;вул.Челябінська, 5, м.Київ, 02002;;;50.45874716;30.5957973;803.3908542978829;2294;1591;406;463;195
м.Київ;ТВО №223;223;ВД № 801011;вул.Бакинська, 12, м.Київ, 04086;;;50.48082657;30.44896519;804.1478790223928;2270;1521;431;376;204
м.Київ;ТВО №223;223;ВД № 801035;вул.Януша Корчака, 8, м.Київ, 03190;;;50.46380813;30.41343295;804.4139735085524;1796;1202;306;281;185
м.Київ;ТВО №223;223;ВД № 801030;вул.Шпака, 4, м.Київ, 03113;;;50.45927309;30.43207526;805.4816254940066;2095;1401;413;328;154
м.Київ;ТВО №218;218;ВД № 800803;вул.Чорнобильська, 10Б, м.Київ, 03179;;;50.45814084;30.35044739;806.1872600663397;2136;1606;471;368;255
